epoch,acc,loss,val_acc,val_loss
0,0.9408166666984558,0.19815681675076485,0.9767,0.07133618733100593
1,0.9781666666666666,0.07271826552351315,0.9848,0.04603826120123267
2,0.9829,0.05506942305167516,0.9862,0.045763015386089685
3,0.9848833333015442,0.04708613881965478,0.9846,0.04365062868539244
